 1	Nof sets in this file, set #1 original structure , set#2 is stiff
#1
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1            66
0.0000E+00	6.0118E+03	0.0000E+00	0.0000E+00	4.9330E-01	4.9330E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	3.9214E+00	3.9214E+00	7.8429E+00	5.0000E-01	5.0000E-01	7.6450E-01	0.0000E+00	0.0000E+00	0.0000E+00
7.6923E-01	5.8462E+03	0.0000E+00	0.0000E+00	4.8716E-01	4.8716E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	3.8430E+00	3.8430E+00	7.6748E+00	5.0000E-01	5.0000E-01	7.4556E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.2923E+00	6.0592E+03	0.0000E+00	0.0000E+00	4.9559E-01	4.9559E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	3.9270E+00	3.9270E+00	7.8429E+00	5.0000E-01	5.0000E-01	7.7160E-01	0.0000E+00	0.0000E+00	0.0000E+00
2.8308E+00	5.9408E+03	0.0000E+00	0.0000E+00	4.9101E-01	4.9101E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	3.7198E+00	3.7198E+00	7.4507E+00	5.0000E-01	5.0000E-01	7.5740E-01	0.0000E+00	0.0000E+00	0.0000E+00
4.3692E+00	6.0592E+03	0.0000E+00	0.0000E+00	4.9635E-01	4.9635E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	3.6581E+00	3.6581E+00	7.3387E+00	5.0000E-01	5.0000E-01	7.7396E-01	0.0000E+00	0.0000E+00	0.0000E+00
5.9077E+00	5.9645E+03	0.0000E+00	0.0000E+00	4.9101E-01	4.9101E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	3.4565E+00	3.4565E+00	6.8905E+00	5.0000E-01	5.0000E-01	7.5740E-01	0.0000E+00	0.0000E+00	0.0000E+00
7.4462E+00	4.9467E+03	0.0000E+00	0.0000E+00	4.4850E-01	4.4850E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.7842E+00	2.7842E+00	5.5684E+00	5.0000E-01	5.0000E-01	6.3195E-01	0.0000E+00	0.0000E+00	0.0000E+00
8.9846E+00	4.8994E+03	0.0000E+00	0.0000E+00	4.4513E-01	4.4513E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.6666E+00	2.6666E+00	5.3387E+00	5.0000E-01	5.0000E-01	6.2249E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.0523E+01	5.0414E+03	0.0000E+00	0.0000E+00	4.5185E-01	4.5185E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.6722E+00	2.6722E+00	5.3444E+00	5.0000E-01	5.0000E-01	6.4142E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.2062E+01	4.9704E+03	0.0000E+00	0.0000E+00	4.4850E-01	4.4850E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.5601E+00	2.5601E+00	5.1203E+00	5.0000E-01	5.0000E-01	6.3195E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.3600E+01	4.8994E+03	0.0000E+00	0.0000E+00	4.4513E-01	4.4513E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.4481E+00	2.4481E+00	4.9018E+00	5.0000E-01	5.0000E-01	6.2249E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.5138E+01	4.8284E+03	0.0000E+00	0.0000E+00	4.4174E-01	4.4174E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.3417E+00	2.3417E+00	4.6889E+00	5.0000E-01	5.0000E-01	6.1302E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.6677E+01	4.9467E+03	0.0000E+00	0.0000E+00	4.4850E-01	4.4850E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.3361E+00	2.3361E+00	4.6721E+00	5.0000E-01	5.0000E-01	6.3195E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.8215E+01	4.8757E+03	0.0000E+00	0.0000E+00	4.4513E-01	4.4513E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.2296E+00	2.2296E+00	4.4648E+00	5.0000E-01	5.0000E-01	6.2249E-01	0.0000E+00	0.0000E+00	0.0000E+00
1.9754E+01	4.8047E+03	0.0000E+00	0.0000E+00	4.4174E-01	4.4174E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.1288E+00	2.1288E+00	4.2576E+00	5.0000E-01	5.0000E-01	6.1302E-01	0.0000E+00	0.0000E+00	0.0000E+00
2.1292E+01	4.7337E+03	0.0000E+00	0.0000E+00	4.3831E-01	4.3831E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	2.0335E+00	2.0335E+00	4.0615E+00	5.0000E-01	5.0000E-01	6.0355E-01	0.0000E+00	0.0000E+00	0.0000E+00
2.2831E+01	4.7101E+03	0.0000E+00	0.0000E+00	4.3659E-01	4.3659E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.9999E+00	1.9999E+00	3.9943E+00	5.0000E-01	5.0000E-01	5.9882E-01	0.0000E+00	0.0000E+00	0.0000E+00
2.4369E+01	4.6864E+03	0.0000E+00	0.0000E+00	4.3572E-01	4.3572E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.9663E+00	1.9663E+00	3.9270E+00	5.0000E-01	5.0000E-01	5.9645E-01	0.0000E+00	0.0000E+00	0.0000E+00
2.5908E+01	4.6391E+03	0.0000E+00	0.0000E+00	4.3399E-01	4.3399E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.9327E+00	1.9327E+00	3.8598E+00	5.0000E-01	5.0000E-01	5.9172E-01	0.0000E+00	0.0000E+00	0.0000E+00
2.7446E+01	4.4260E+03	0.0000E+00	0.0000E+00	4.2434E-01	4.2434E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.8207E+00	1.8207E+00	3.6413E+00	5.0000E-01	5.0000E-01	5.6568E-01	0.0000E+00	0.0000E+00	0.0000E+00
2.8985E+01	4.4024E+03	0.0000E+00	0.0000E+00	4.2256E-01	4.2256E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.7871E+00	1.7871E+00	3.5741E+00	5.0000E-01	5.0000E-01	5.6095E-01	0.0000E+00	0.0000E+00	0.0000E+00
3.0523E+01	4.3787E+03	0.0000E+00	0.0000E+00	4.2166E-01	4.2166E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.7590E+00	1.7590E+00	3.5125E+00	5.0000E-01	5.0000E-01	5.5858E-01	0.0000E+00	0.0000E+00	0.0000E+00
3.2062E+01	4.3550E+03	0.0000E+00	0.0000E+00	4.1988E-01	4.1988E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.7254E+00	1.7254E+00	3.4565E+00	5.0000E-01	5.0000E-01	5.5385E-01	0.0000E+00	0.0000E+00	0.0000E+00
3.3600E+01	4.1420E+03	0.0000E+00	0.0000E+00	4.0989E-01	4.0989E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.6246E+00	1.6246E+00	3.2492E+00	5.0000E-01	5.0000E-01	5.2781E-01	0.0000E+00	0.0000E+00	0.0000E+00
3.5138E+01	4.1183E+03	0.0000E+00	0.0000E+00	4.0897E-01	4.0897E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.5966E+00	1.5966E+00	3.1932E+00	5.0000E-01	5.0000E-01	5.2544E-01	0.0000E+00	0.0000E+00	0.0000E+00
3.6677E+01	4.0947E+03	0.0000E+00	0.0000E+00	4.0712E-01	4.0712E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.5686E+00	1.5686E+00	3.1371E+00	5.0000E-01	5.0000E-01	5.2071E-01	0.0000E+00	0.0000E+00	0.0000E+00
3.8215E+01	3.8817E+03	0.0000E+00	0.0000E+00	3.9681E-01	3.9681E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.4733E+00	1.4733E+00	2.9411E+00	5.0000E-01	5.0000E-01	4.9467E-01	0.0000E+00	0.0000E+00	0.0000E+00
3.9754E+01	3.8580E+03	0.0000E+00	0.0000E+00	3.9586E-01	3.9586E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.4453E+00	1.4453E+00	2.8907E+00	5.0000E-01	5.0000E-01	4.9231E-01	0.0000E+00	0.0000E+00	0.0000E+00
4.1292E+01	3.8343E+03	0.0000E+00	0.0000E+00	3.9491E-01	3.9491E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.4173E+00	1.4173E+00	2.8346E+00	5.0000E-01	5.0000E-01	4.8994E-01	0.0000E+00	0.0000E+00	0.0000E+00
4.2831E+01	3.8107E+03	0.0000E+00	0.0000E+00	3.9300E-01	3.9300E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.3949E+00	1.3949E+00	2.7842E+00	5.0000E-01	5.0000E-01	4.8521E-01	0.0000E+00	0.0000E+00	0.0000E+00
4.4369E+01	3.6213E+03	0.0000E+00	0.0000E+00	3.8231E-01	3.8231E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.3053E+00	1.3053E+00	2.6050E+00	5.0000E-01	5.0000E-01	4.5917E-01	0.0000E+00	0.0000E+00	0.0000E+00
4.5908E+01	3.5976E+03	0.0000E+00	0.0000E+00	3.8132E-01	3.8132E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.2773E+00	1.2773E+00	2.5601E+00	5.0000E-01	5.0000E-01	4.5680E-01	0.0000E+00	0.0000E+00	0.0000E+00
4.7446E+01	3.5740E+03	0.0000E+00	0.0000E+00	3.8033E-01	3.8033E-01	0.0000E+00	0.0000E+00	2.1000E+11	8.1000E+10	1.2549E+00	1.2549E+00	2.5097E+00	5.0000E-01	5.0000E-01	4.5444E-01	0.0000E+00	0.0000E+00	0.0000E+00
