 1	Nof sets in this file, set #1 original structure , set#2 is stiff
#1
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1            66
0.000	3847.574	0.000	0.000	0.395	0.395	0.000	0.000	210000000000.000	81000000000.000	1.606	1.606	3.212	0.500	0.500	0.489	0.000	0.000	0.000
0.615	3741.538	0.000	0.000	0.390	0.390	0.000	0.000	210000000000.000	81000000000.000	1.574	1.574	3.144	0.500	0.500	0.477	0.000	0.000	0.000
1.034	3877.870	0.000	0.000	0.396	0.396	0.000	0.000	210000000000.000	81000000000.000	1.609	1.609	3.212	0.500	0.500	0.494	0.000	0.000	0.000
2.265	3802.130	0.000	0.000	0.393	0.393	0.000	0.000	210000000000.000	81000000000.000	1.524	1.524	3.052	0.500	0.500	0.485	0.000	0.000	0.000
3.495	3877.870	0.000	0.000	0.397	0.397	0.000	0.000	210000000000.000	81000000000.000	1.498	1.498	3.006	0.500	0.500	0.495	0.000	0.000	0.000
4.726	3817.278	0.000	0.000	0.393	0.393	0.000	0.000	210000000000.000	81000000000.000	1.416	1.416	2.822	0.500	0.500	0.485	0.000	0.000	0.000
5.957	3165.917	0.000	0.000	0.359	0.359	0.000	0.000	210000000000.000	81000000000.000	1.140	1.140	2.281	0.500	0.500	0.404	0.000	0.000	0.000
7.188	3135.621	0.000	0.000	0.356	0.356	0.000	0.000	210000000000.000	81000000000.000	1.092	1.092	2.187	0.500	0.500	0.398	0.000	0.000	0.000
8.418	3226.509	0.000	0.000	0.361	0.361	0.000	0.000	210000000000.000	81000000000.000	1.095	1.095	2.189	0.500	0.500	0.411	0.000	0.000	0.000
9.649	3181.065	0.000	0.000	0.359	0.359	0.000	0.000	210000000000.000	81000000000.000	1.049	1.049	2.097	0.500	0.500	0.404	0.000	0.000	0.000
10.880	3135.621	0.000	0.000	0.356	0.356	0.000	0.000	210000000000.000	81000000000.000	1.003	1.003	2.008	0.500	0.500	0.398	0.000	0.000	0.000
12.111	3090.178	0.000	0.000	0.353	0.353	0.000	0.000	210000000000.000	81000000000.000	0.959	0.959	1.921	0.500	0.500	0.392	0.000	0.000	0.000
13.342	3165.917	0.000	0.000	0.359	0.359	0.000	0.000	210000000000.000	81000000000.000	0.957	0.957	1.914	0.500	0.500	0.404	0.000	0.000	0.000
14.572	3120.473	0.000	0.000	0.356	0.356	0.000	0.000	210000000000.000	81000000000.000	0.913	0.913	1.829	0.500	0.500	0.398	0.000	0.000	0.000
15.803	3075.030	0.000	0.000	0.353	0.353	0.000	0.000	210000000000.000	81000000000.000	0.872	0.872	1.744	0.500	0.500	0.392	0.000	0.000	0.000
17.034	3029.586	0.000	0.000	0.351	0.351	0.000	0.000	210000000000.000	81000000000.000	0.833	0.833	1.664	0.500	0.500	0.386	0.000	0.000	0.000
18.265	3014.438	0.000	0.000	0.349	0.349	0.000	0.000	210000000000.000	81000000000.000	0.819	0.819	1.636	0.500	0.500	0.383	0.000	0.000	0.000
19.495	2999.290	0.000	0.000	0.349	0.349	0.000	0.000	210000000000.000	81000000000.000	0.805	0.805	1.609	0.500	0.500	0.382	0.000	0.000	0.000
20.726	2968.994	0.000	0.000	0.347	0.347	0.000	0.000	210000000000.000	81000000000.000	0.792	0.792	1.581	0.500	0.500	0.379	0.000	0.000	0.000
21.957	2832.663	0.000	0.000	0.339	0.339	0.000	0.000	210000000000.000	81000000000.000	0.746	0.746	1.491	0.500	0.500	0.362	0.000	0.000	0.000
23.188	2817.515	0.000	0.000	0.338	0.338	0.000	0.000	210000000000.000	81000000000.000	0.732	0.732	1.464	0.500	0.500	0.359	0.000	0.000	0.000
24.418	2802.367	0.000	0.000	0.337	0.337	0.000	0.000	210000000000.000	81000000000.000	0.721	0.721	1.439	0.500	0.500	0.357	0.000	0.000	0.000
